PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Lichfield_1755a/2,M,LS 15/115,Birmingham CL,Green Notes; Gibson and Rogers,Lichfield_1755a,
Lichfield_1761a/1,M,D661/19/4/2,Staffordshire RO,Gibson and Rogers,Lichfield_1761a,
Lichfield_1761a/2,M,L195/2,Staffordshire RO,Green Notes; Gibson and Rogers,Lichfield_1761a,
Lichfield_1799a/1,P,"The poll for a member… (Lichfield: M. Morgan, [1799])","William Salt Library, IHR",Sims; Gibson and Rogers,Lichfield_1799a,
Lichfield_1799a/2,P,"The poll, taken for a representative… (n.p., [1799])","Staffordshire RO, IHR",Sims; Gibson and Rogers,Lichfield_1799a,
Lichfield_1799a/3,M,MS 3069/13/3/24,Birmingham CL,Green Notes; Gibson and Rogers,Lichfield_1799a,
Lichfield_1799a/4,M,LD15/4/4/2,Staffordshire RO,Green Notes; Gibson and Rogers,Lichfield_1799a,
Lichfield_1826a/1,M,LD15/4/5/3,Staffordshire RO,Green Notes; Gibson and Rogers,Lichfield_1826a,
Lichfield_1830a/1,M,,Staffordshire RO,Green Notes; Gibson and Rogers,Lichfield_1830a,
NewcastleunderLyme_1708a/1,M,,HoP,HoP,NewcastleunderLyme_1708a,
NewcastleunderLyme_1715a/1,M,,HoP,HoP,NewcastleunderLyme_1715a,
NewcastleunderLyme_1724a/1,M,,Newcastle-under-Lyme Library,Gibson and Rogers,NewcastleunderLyme_1724a,
NewcastleunderLyme_1734a/1,P,"A copy of the poll… (n.p., [1734])","Newcastle-under-Lyme Library, Staffordshire RO, Stoke on Trent City Archives, IHR",Sims; Gibson and Rogers,NewcastleunderLyme_1734a,
NewcastleunderLyme_1734a/2,M,D593/S/16/6/2,Staffordshire RO,Green Notes,NewcastleunderLyme_1734a,
NewcastleunderLyme_1774b/1,P,"A copy of the poll… (Newcastle: James Smith, 1774)","Newcastle-under-Lyme Library, Staffordshire RO, IHR",Sims; Gibson and Rogers,NewcastleunderLyme_1774b,
NewcastleunderLyme_1790a/1,P,"A copy of the poll… (Newcastle: J. Smith, [1790])","Staffordshire RO, Stoke on Trent City Archives, IHR",Sims; Gibson and Rogers,NewcastleunderLyme_1790a,
NewcastleunderLyme_1790a/2,M,7136/1,Staffordshire RO,Green Notes,NewcastleunderLyme_1790a,
NewcastleunderLyme_1790a/3,M,D593/S/16/10/18,Staffordshire RO,Green Notes,NewcastleunderLyme_1790a,
